#Extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data_10-6-22\Sample Specific Files\iMata_GDANB_Pt2_SampleManifest.xlsx -> Sheet 1

IlluminaID	ExternalID
202202087-01	CCC0204
202001615-14	#N/A
202201936-01	UMP00209
202201960-01	UMC01120
202201918-01	COP30014
202202067-01	MXP0006
202201948-01	UMP01106
202201907-01	COP30009
202202105-01	CCP0218
202201912-01	COP30011
202201875-01	CHP0310
202024856-14	#N/A
202201839-01	CHP0273
202201863-01	CHP0298
202202074-01	MXP0016
202202214-01	UCHP0031
202201993-01	COP30072
202201869-01	CHP0304
202202091-01	CCC0217
202201914-01	UMC01865
202201800-01	CHP0233
202201865-01	CHC0300
202201691-21	#N/A
202114176-15	#N/A
202201930-01	COP30020
202002602-14	#N/A
202201858-01	CHP0293
202201934-01	UMP00207
202201326-15	#N/A
202201851-01	CHP0286
202201711-23	#N/A
202202121-01	CCP0247
202201982-01	COP30060
202202235-01	CHP0359
202201827-01	CHP0260
202201975-01	COP30053
202202077-01	MXP0022
202025063-14	#N/A
202201913-01	UMC01864
202202133-01	CCP0263
202201848-01	CHP0283
202208627-06	#N/A
202201823-01	CHP0256
202201963-01	COP30037
202201922-01	UMP00096
202117325-15	#N/A
202202171-01	UCHP0013
202111627-14	#N/A
202201937-01	UMP00301
202201815-01	CHP0248
201927308-14	#N/A
202101288-14	#N/A
202202179-01	CCP0095
202202232-01	CHC0368
202201847-01	CHP0282
202201931-01	COP30022
202201864-01	CHP0299
202201792-01	CHP0225
202202205-01	UCHP0023
202025067-14	#N/A
202201797-01	CHP0230
202201919-01	UMC01926
202202118-01	CCP0240
202025661-12	#N/A
202202018-01	COP30107
201207480-04_pD	HIHG Control
202201883-01	CHP0318
202201872-01	CHP0307
202202209-01	UCHP0026
202202020-01	COP30109
202202227-01	CHC0358
202202128-01	CCP0255
202201909-01	UMC00064
202100692-12	#N/A
202201771-01	CHP0202
202202022-01	COP30111
202201793-01	CHP0226
202202152-01	CCC0184
202202234-01	CHP0357
202003884-12	#N/A
202202102-01	CCP0213
202202193-01	UCHP0021
202111363-13	#N/A
202202041-01	COP30138
202202197-01	CCP0185
202201786-01	CHP0218
202201790-01	CHP0222
202202069-01	MXP0009
202202192-01	CCP0174
202201927-01	UMP00109
202201841-01	CHP0275
202202149-01	CCC0168
202202050-01	COP30150
202202153-01	CCC0186
202202075-01	MXP0017
202201941-01	UMP00307
202201876-01	CHC0311
202201856-01	CHP0291
202111532-15	#N/A
202201972-01	COP30049
202105922-15	#N/A
202202040-01	COP30137
202202009-01	COP30096
202201950-01	COP30029
202201901-01	UMC01853
202202084-01	MXP0043
202201849-01	CHP0284
202202155-01	CCC0194
202202063-01	MXC0045
202202088-01	CCC0207
202201776-01	CHP0208
202202150-01	CCP0173
202201803-01	CHP0236
202118977-14	#N/A
202201986-01	COP30065
202202187-01	UCHP0020
202201888-01	CHP0323
202201940-01	UMP00305
202201817-01	CHP0250
202201946-01	UMP01104
202201825-01	CHP0258
202202101-01	CCP0211
202120051-15	#N/A
202202239-01	COC07185
202202017-01	COP30106
202201859-01	CHC0294
202201842-01	CHP0276
202202109-01	CCP0223
202101813-16	#N/A
202201932-01	COP30023
202202125-01	CCP0252
202201906-01	UMP00053
202202100-01	CCP0206
202201991-01	COP30070
202201788-01	CHP0220
202201929-01	COP30019
202001616-14	#N/A
202111723-13	#N/A
202003886-12	#N/A
202201945-01	COP30027
202202246-01	COC07121
202201964-01	COP30038
202201789-01	CHP0221
202202136-01	CCP0269
202202208-01	UCHP0005
202201994-01	COP30073
202202072-01	MXP0013
202201798-01	CHP0231
202201961-01	UMC01121
202101289-07	#N/A
202202110-01	CCP0224
202201832-01	CHP0265
202202166-01	UCHP0006
202202056-01	COP30157
202003885-12	#N/A
202201886-01	CHP0321
202202162-01	CCP0019
202202019-01	COP30108
202201852-01	CHP0287. A
202024215-14	#N/A
202202058-01	MXC0007
202201916-01	UMC01867
202201959-01	UMC01119
202100690-12	#N/A
202202237-01	CHP0363
202201988-01	COP30067
202206089-23	#N/A
202201979-01	COP30057
202202242-01	COC07078
202202116-01	CCP0238
202202086-01	CCC0200
202202012-01	COP30101
202201894-01	UMP01125
202201779-01	CHP0211
202101239-15	#N/A
202201874-01	CHC0309
202201804-01	CHP0237
202202245-01	COC07089
202202138-01	CCP0271
202202021-01	COP30110
202202212-01	UCHP0029
202116844-15	#N/A
202201460-15	#N/A
202201892-01	UMP01123
202201981-01	COP30068
202201947-01	UMP01105
202202130-01	CCP0260
202202051-01	COP30151
202201987-01	COP30066
202202131-01	CCP0261
202202002-01	COP30088
202202052-01	COP30152
202202038-01	COP30135
202201977-01	COP30055
202202108-01	CCP0222
202201794-01	CHP0227
202201952-01	COP30031
202201928-01	COP30018
202024216-14	#N/A
202201857-01	CHP0292
201207480-04_pE	HIHG Control
202201953-01	UMC01111
202201889-01	UMP00007
202118188-15	#N/A
202201837-01	CHP0271
202202111-01	CCP0225
202100691-12	#N/A
202100580-12	#N/A
202202218-01	CCC0284
202207836-23	#N/A
202201996-01	COP30076
202201921-01	COP30015
202201861-01	CHP0296
202202117-01	CCP0239
202202078-01	MXP0023
202201778-01	CHP0210
202201868-01	CHC0303
202202014-01	COP30103
202201855-01	CHP0290
202201443-15	#N/A
202117569-15	#N/A
202201992-01	COP30071
202116801-15	#N/A
202202011-01	COP30100
202201811-01	CHP0244
202202244-01	COC07085
202201951-01	COP30030
202202151-01	CCC0180
202201924-01	COP30016
202201829-01	CHP0262
202202068-01	MXP0008
202201816-01	CHP0249
202105775-15	#N/A
202201939-01	UMC00302
202202024-01	COP30113
202202065-01	MXP0002
202202191-01	CCP0172
201207480-04_pF	HIHG Control
202202094-01	CCC0256
202201809-01	CHP0242
202201846-01	CHP0281
202201813-01	CHP0246
202201887-01	CHP0322
