#Data extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data_2-24-23\Sample Specific Files\iMata_GDANB_SampleSheet_672.csv

Sample_ID,SentrixBarcode_A,SentrixPosition_A
201207480-04_pt3pB,207121700060,R01C01
202219209-01,207121700060,R02C01
202219210-01,207121700060,R03C01
202219609-01,207121700060,R04C01
202219483-01,207121700060,R05C01
202219324-01,207121700060,R06C01
202219640-01,207121700060,R07C01
202219594-01,207121700060,R08C01
202219488-01,207121700058,R01C01
202219874-01,207121700058,R02C01
202219600-01,207121700058,R03C01
202219396-01,207121700058,R04C01
202219362-01,207121700058,R05C01
202219513-01,207121700058,R06C01
202219344-01,207121700058,R07C01
202219560-01,207121700058,R08C01
202219250-01,207117380027,R01C01
202219493-01,207117380027,R02C01
202219430-01,207117380027,R03C01
202219748-01,207117380027,R04C01
202219479-01,207117380027,R05C01
202219352-01,207117380027,R06C01
202219525-01,207117380027,R07C01
202219213-01,207117380027,R08C01
202219474-01,207117380042,R01C01
202219414-01,207117380042,R02C01
202219858-01,207117380042,R03C01
202219732-01,207117380042,R04C01
202219689-01,207117380042,R05C01
202219707-01,207117380042,R06C01
202219767-01,207117380042,R07C01
202219422-01,207117380042,R08C01
202219434-01,207117380002,R01C01
202219293-01,207117380002,R02C01
202219749-01,207117380002,R03C01
202219371-01,207117380002,R04C01
202219666-01,207117380002,R05C01
202219679-01,207117380002,R06C01
202219309-01,207117380002,R07C01
202219648-01,207117380002,R08C01
202219615-01,207117380003,R01C01
202219605-01,207117380003,R02C01
202023843-01,207117380003,R03C01
202219438-01,207117380003,R04C01
202219328-01,207117380003,R05C01
202219678-01,207117380003,R06C01
202219656-01,207117380003,R07C01
202219650-01,207117380003,R08C01
202219366-01,207117380006,R01C01
202219641-01,207117380006,R02C01
202219448-01,207117380006,R03C01
202219418-01,207117380006,R04C01
202219601-01,207117380006,R05C01
202219233-01,207117380006,R06C01
202219267-01,207117380006,R07C01
202219791-01,207117380006,R08C01
202219807-01,207121700079,R01C01
202219268-01,207121700079,R02C01
202219262-01,207121700079,R03C01
202219340-01,207121700079,R04C01
202219392-01,207121700079,R05C01
202219758-01,207121700079,R06C01
202219712-01,207121700079,R07C01
202219275-01,207121700079,R08C01
202219491-01,207121700081,R01C01
202219353-01,207121700081,R02C01
202219574-01,207121700081,R03C01
202219855-01,207121700081,R04C01
202219507-01,207121700081,R05C01
202219282-01,207121700081,R06C01
202219311-01,207121700081,R07C01
202219304-01,207121700081,R08C01
202219402-01,207121700084,R01C01
201207480-04_pt3pC,207121700084,R02C01
202219819-01,207121700084,R03C01
202219853-01,207121700084,R04C01
202219646-01,207121700084,R05C01
202202160-01,207121700084,R06C01
202219458-01,207121700084,R07C01
202219785-01,207121700084,R08C01
202219821-01,207121700080,R01C01
202219728-01,207121700080,R02C01
202219637-01,207121700080,R03C01
202219467-01,207121700080,R04C01
202219236-01,207121700080,R05C01
202219647-01,207121700080,R06C01
202219592-01,207121700080,R07C01
202219573-01,207121700080,R08C01
202219427-01,207121700082,R01C01
202219464-01,207121700082,R02C01
202219278-01,207121700082,R03C01
202219620-01,207121700082,R04C01
202219815-01,207121700082,R05C01
202219675-01,207121700082,R06C01
202219380-01,207121700082,R07C01
202219645-01,207121700082,R08C01
202219691-01,207121700020,R01C01
202219518-01,207121700020,R02C01
202219386-01,207121700020,R03C01
202219658-01,207121700020,R04C01
202219404-01,207121700020,R05C01
202219504-01,207121700020,R06C01
202219263-01,207121700020,R07C01
202219473-01,207121700020,R08C01
202219565-01,207121700064,R01C01
202219273-01,207121700064,R02C01
202219286-01,207121700064,R03C01
202219557-01,207121700064,R04C01
202219266-01,207121700064,R05C01
202219799-01,207121700064,R06C01
202219314-01,207121700064,R07C01
202219564-01,207121700064,R08C01
202219420-01,207121700035,R01C01
202219777-01,207121700035,R02C01
202219254-01,207121700035,R03C01
202219224-01,207121700035,R04C01
202219226-01,207121700035,R05C01
202219363-01,207121700035,R06C01
202219742-01,207121700035,R07C01
202219442-01,207121700035,R08C01
202219708-01,207117380018,R01C01
202219536-01,207117380018,R02C01
202219688-01,207117380018,R03C01
202219531-01,207117380018,R04C01
202219812-01,207117380018,R05C01
202219358-01,207117380018,R06C01
202219765-01,207117380018,R07C01
202219706-01,207117380018,R08C01
202219243-01,207117380031,R01C01
202219444-01,207117380031,R02C01
202219485-01,207117380031,R03C01
202219738-01,207117380031,R04C01
202219310-01,207117380031,R05C01
202219740-01,207117380031,R06C01
202219561-01,207117380031,R07C01
202219271-01,207117380031,R08C01
202219796-01,207117380033,R01C01
202219354-01,207117380033,R02C01
202219776-01,207117380033,R03C01
202219220-01,207117380033,R04C01
202219744-01,207117380033,R05C01
202219864-01,207117380033,R06C01
202219553-01,207117380033,R07C01
202219530-01,207117380033,R08C01
202219861-01,207117380035,R01C01
202219212-01,207117380035,R02C01
202219695-01,207117380035,R03C01
202219257-01,207117380035,R04C01
202219606-01,207117380035,R05C01
202219622-01,207117380035,R06C01
202219509-01,207117380035,R07C01
202219559-01,207117380035,R08C01
202219417-01,207117380037,R01C01
202219673-01,207117380037,R02C01
202219772-01,207117380037,R03C01
202219320-01,207117380037,R04C01
202219400-01,207117380037,R05C01
202219624-01,207117380037,R06C01
202219792-01,207117380037,R07C01
202219459-01,207117380037,R08C01
202219875-01,207117380004,R01C01
202219514-01,207117380004,R02C01
202219357-01,207117380004,R03C01
202219298-01,207117380004,R04C01
202219373-01,207117380004,R05C01
202219287-01,207117380004,R06C01
202219568-01,207117380004,R07C01
202219302-01,207117380004,R08C01
202219376-01,207117380024,R01C01
202219828-01,207117380024,R02C01
202219537-01,207117380024,R03C01
202219500-01,207117380024,R04C01
202219638-01,207117380024,R05C01
202219255-01,207117380024,R06C01
202219771-01,207117380024,R07C01
202219657-01,207117380024,R08C01
202219436-01,207117380041,R01C01
202219754-01,207117380041,R02C01
202219389-01,207117380041,R03C01
202219240-01,207117380041,R04C01
202219567-01,207117380041,R05C01
202219419-01,207117380041,R06C01
202219407-01,207117380041,R07C01
202219818-01,207117380041,R08C01
202219790-01,207117380005,R01C01
202219558-01,207117380005,R02C01
202219701-01,207117380005,R03C01
202219285-01,207117380005,R04C01
202219259-01,207117380005,R05C01
202219265-01,207117380005,R06C01
202219786-01,207117380005,R07C01
202219793-01,207117380005,R08C01
202219727-01,207117380022,R01C01
202219547-01,207117380022,R02C01
202219215-01,207117380022,R03C01
202219590-01,207117380022,R04C01
202219663-01,207117380022,R05C01
202219326-01,207117380022,R06C01
202219784-01,207117380022,R07C01
202219456-01,207117380022,R08C01
202219616-01,207117380023,R01C01
202219603-01,207117380023,R02C01
202219778-01,207117380023,R03C01
202202073-01,207117380023,R04C01
201207480-04_pt3pD,207117380023,R05C01
202219351-01,207117380023,R06C01
202219490-01,207117380023,R07C01
202219455-01,207117380023,R08C01
202219872-01,207117380040,R01C01
202219288-01,207117380040,R02C01
202219487-01,207117380040,R03C01
202219743-01,207117380040,R04C01
202219757-01,207117380040,R05C01
202219860-01,207117380040,R06C01
202219608-01,207117380040,R07C01
202219468-01,207117380040,R08C01
202219292-01,207087150071,R01C01
202219643-01,207087150071,R02C01
202219566-01,207087150071,R03C01
202219710-01,207087150071,R04C01
202219654-01,207087150071,R05C01
202219502-01,207087150071,R06C01
202219850-01,207087150071,R07C01
202219832-01,207087150071,R08C01
202219452-01,207087150077,R01C01
202219879-01,207087150077,R02C01
202219449-01,207087150077,R03C01
202219756-01,207087150077,R04C01
202219857-01,207087150077,R05C01
202219289-01,207087150077,R06C01
202219296-01,207087150077,R07C01
202219489-01,207087150077,R08C01
202219811-01,206904780045,R01C01
202219333-01,206904780045,R02C01
202219443-01,206904780045,R03C01
202219665-01,206904780045,R04C01
201207480-04_pt3pE,206904780045,R05C01
202219382-01,206904780045,R06C01
202219517-01,206904780045,R07C01
202219217-01,206904780045,R08C01
202219813-01,206904780046,R01C01
202219685-01,206904780046,R02C01
202219327-01,206904780046,R03C01
202219804-01,206904780046,R04C01
202219871-01,206904780046,R05C01
202219348-01,206904780046,R06C01
202219321-01,206904780046,R07C01
202219789-01,206904780046,R08C01
202219602-01,207117380009,R01C01
202219338-01,207117380009,R02C01
202023845-01,207117380009,R03C01
202219481-01,207117380009,R04C01
202219533-01,207117380009,R05C01
202219221-01,207117380009,R06C01
202219621-01,207117380009,R07C01
202219365-01,207117380009,R08C01
202219397-01,207117380007,R01C01
202219439-01,207117380007,R02C01
202219551-01,207117380007,R03C01
202219873-01,207117380007,R04C01
202219281-01,207117380007,R05C01
202219842-01,207117380007,R06C01
202219364-01,207117380007,R07C01
202219523-01,207117380007,R08C01
202219370-01,207117380008,R01C01
202219849-01,207117380008,R02C01
202219332-01,207117380008,R03C01
202219866-01,207117380008,R04C01
202219613-01,207117380008,R05C01
202219856-01,207117380008,R06C01
202219698-01,207117380008,R07C01
202219694-01,207117380008,R08C01
202219497-01,207117380025,R01C01
202219475-01,207117380025,R02C01
202219322-01,207117380025,R03C01
202219752-01,207117380025,R04C01
202219381-01,207117380025,R05C01
202219284-01,207117380025,R06C01
202219486-01,207117380025,R07C01
202219538-01,207117380025,R08C01
202219870-01,207117380032,R01C01
202219703-01,207117380032,R02C01
202219544-01,207117380032,R03C01
202219747-01,207117380032,R04C01
202219521-01,207117380032,R05C01
202219335-01,207117380032,R06C01
202219342-01,207117380032,R07C01
202219705-01,207117380032,R08C01
202219614-01,207117380034,R01C01
202219308-01,207117380034,R02C01
202219482-01,207117380034,R03C01
202219329-01,207117380034,R04C01
202219877-01,207117380034,R05C01
202219469-01,207117380034,R06C01
202219878-01,207117380034,R07C01
202219300-01,207117380034,R08C01
202219846-01,207117380016,R01C01
202219520-01,207117380016,R02C01
202219659-01,207117380016,R03C01
202219305-01,207117380016,R04C01
202219823-01,207117380016,R05C01
202219684-01,207117380016,R06C01
202219852-01,207117380016,R07C01
202219239-01,207117380016,R08C01
202219699-01,207117380036,R01C01
202219572-01,207117380036,R02C01
202219720-01,207117380036,R03C01
202219425-01,207117380036,R04C01
202219741-01,207117380036,R05C01
202219526-01,207117380036,R06C01
202219780-01,207117380036,R07C01
202219360-01,207117380036,R08C01
202219541-01,207087150044,R01C01
202219385-01,207087150044,R02C01
202219869-01,207087150044,R03C01
202219563-01,207087150044,R04C01
202219383-01,207087150044,R05C01
202219768-01,207087150044,R06C01
202219787-01,207087150044,R07C01
202219253-01,207087150044,R08C01
202219636-01,207087150012,R01C01
202219632-01,207087150012,R02C01
202202201-01,207087150012,R03C01
202219797-01,207087150012,R04C01
202219374-01,207087150012,R05C01
202219508-01,207087150012,R06C01
202219626-01,207087150012,R07C01
202219519-01,207087150012,R08C01
202219307-01,206917560025,R01C01
202219477-01,206917560025,R02C01
202219453-01,206917560025,R03C01
202219634-01,206917560025,R04C01
202219651-01,206917560025,R05C01
202219664-01,206917560025,R06C01
202219235-01,206917560025,R07C01
202219532-01,206917560025,R08C01
202219702-01,206917560026,R01C01
202219693-01,206917560026,R02C01
202219587-01,206917560026,R03C01
202219384-01,206917560026,R04C01
202219809-01,206917560026,R05C01
202219466-01,206917560026,R06C01
202219484-01,206917560026,R07C01
202219252-01,206917560026,R08C01
202219661-01,207117380014,R01C01
202219249-01,207117380014,R02C01
202023842-01,207117380014,R03C01
202219393-01,207117380014,R04C01
202219817-01,207117380014,R05C01
202219550-01,207117380014,R06C01
201207480-04_pt3pF,207117380014,R07C01
202219562-01,207117380014,R08C01
202219463-01,207117380038,R01C01
202219303-01,207117380038,R02C01
202219345-01,207117380038,R03C01
202219835-01,207117380038,R04C01
202219480-01,207117380038,R05C01
202219295-01,207117380038,R06C01
202219597-01,207117380038,R07C01
202219391-01,207117380038,R08C01
202219405-01,207117380010,R01C01
202219805-01,207117380010,R02C01
202219325-01,207117380010,R03C01
202219394-01,207117380010,R04C01
202219851-01,207117380010,R05C01
202219611-01,207117380010,R06C01
202219770-01,207117380010,R07C01
202219820-01,207117380010,R08C01
202219276-01,207117380015,R01C01
202219827-01,207117380015,R02C01
202219470-01,207117380015,R03C01
202219510-01,207117380015,R04C01
202219880-01,207117380015,R05C01
202219355-01,207117380015,R06C01
202219234-01,207117380015,R07C01
202219356-01,207117380015,R08C01
202219395-01,207117380039,R01C01
202219555-01,207117380039,R02C01
202219652-01,207117380039,R03C01
202219730-01,207117380039,R04C01
202219290-01,207117380039,R05C01
202219223-01,207117380039,R06C01
202219457-01,207117380039,R07C01
202219429-01,207117380039,R08C01
202219595-01,207117380028,R01C01
202219639-01,207117380028,R02C01
202219709-01,207117380028,R03C01
202219660-01,207117380028,R04C01
202219237-01,207117380028,R05C01
202219619-01,207117380028,R06C01
202219451-01,207117380028,R07C01
202219411-01,207117380028,R08C01
202219829-01,207117380001,R01C01
202219315-01,207117380001,R02C01
202219534-01,207117380001,R03C01
202219731-01,207117380001,R04C01
