#Extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data_7-20-21\Sample Specific Files\iMata_GDANB_Pt1_SampleManifest.xlsx -> Sheet 1

IlluminaID	ExternalID
202023492-01	X 20274
202023698-01	URP0737
202023535-01	X00 20338
202023553-01	X00 20368
202023375-01	PPP2014
202023415-01	PPP2071
202023616-01	URP0723
202023521-01	X00 20316
202023741-01	BEP0035
202023470-01	PPC2080
202023624-01	URP0793
202023684-01	URP0896
202023816-01	COP26314
202023661-01	URP1608
202023418-01	PPP2075
202023742-01	HOP 0002.1
202023424-01	PPP2085
202023757-01	COP12675
202023397-01	PPP2051
202023739-01	BEP0029
202023445-01	PPP2112
202023563-01	X00 20381
202023795-01	COP21318
202023335-01	PPP1002
202023800-01	COP21623
202023775-01	COP19906
202023496-01	X 20278
202023467-01	PPC2046
202023398-01	PPP2052
202023789-01	COP20921
202023781-01	COP20202
202023539-01	X00 20342
202023436-01	PPP2098
202023423-01	PPP2084
202023762-01	COP16680
202023768-01	COP17455
202023475-01	CCP0079
202023453-01	PPP2122
202023607-01	URP0686
202023609-01	URP0688
202023686-01	URP0620
202023620-01	URP0783
202023401-01	PPP2056
202023613-01	URP0718
202023380-01	PPP2020
202023544-01	X00 20349
202023612-01	URP0708
202023628-01	URP0803
202023438-01	PPP2103
202023336-01	PPP1003
202023449-01	PPP2117
202023528-01	X00 20330
202023838-01	ARP0013
202023472-01	PPC2082
202023670-01	URP1711
202023362-01	PPP1045
202023758-01	COP13107
202023578-01	X 20184
202023443-01	PPP2108
202023665-01	URP1663
202023394-01	PPP2048
202023707-01	URP0775
202023726-01	BEP0003
202023772-01	COP18771
202023519-01	X 20311
202023833-01	ARP0008
202023597-01	X 20256
202023727-01	BEP0006
202023533-01	X00 20336
202023337-01	PPP1004
202023503-01	X 20285
202023537-01	X00 20340
202023581-01	X 20206
202023669-01	URP1710
202023730-01	BEP0012
202023478-01	CCP0097
202023737-01	BEP0026
202023463-01	PPC2036
202023817-01	COP26785
202023372-01	PPP2010
202023405-01	PPP2060
202023652-01	URP1063
202023699-01	URP0744
202023704-01	URP0758
202023682-01	URP1759
202023797-01	COP21325
202023810-01	COP25309
202023763-01	COP16697
202023543-01	X00 20348
202023446-01	PPP2113
202023512-01	X 20297
202023625-01	URP0795
202023566-01	X00 20385
202023510-01	X 20293
202023694-01	URP0716
201207486-04_pA	HIHG Control
202023505-01	X 20287
202023494-01	X 20276
202023738-01	BEP0027
202023732-01	BEP0015
202023709-01	URP0777
202023338-01	PPP1005
202023633-01	URP0809
202023389-01	PPP2029
202023642-01	URP0920
202023540-01	X00 20345
202023615-01	URP0722
202023386-01	PPP2026
202023473-01	PPC2083
202023623-01	URP0788
202023456-01	PPP2125
202023608-01	URP0687
202023412-01	PPP2068
202023614-01	URP0719
202023477-01	CCP0096
202023493-01	X 20275
202023559-01	X00 20377
202023459-01	PPP2128
202023485-01	CCP0134
202023746-01	HOP 0006.1
202023605-01	URP0671
202023831-01	ARP0006
202023778-01	COP19992
202023437-01	PPP2101
202023347-01	PPP1022
202023587-01	X 20229
202023584-01	X 20212
202023532-01	X00 20335
202023827-01	ARP0002
202023504-01	X 20286
202023466-01	PPC2045
202023501-01	X 20283
202023706-01	URP0774
202023387-01	PPP2027
202023471-01	PPC2081
202023342-01	PPP1011
202023367-01	PPP2003
202023358-01	PPP1041
202023647-01	URP0964
202023631-01	URP0806
202023582-01	X 20210
202023711-01	URP0787
202023549-01	X00 20363
202023811-01	COP25501
202023495-01	X 20277
202023782-01	COP20256
202023622-01	URP0785
202023637-01	URP0860
202023487-01	CCP0141
202023784-01	COP20759
