#Extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data_2-24-23\Sample Specific Files\iMata_GDANB_Pt3_SampleManifest.xlsx -> Genotyped sheet

IlluminaID	ExternalID
202219427-01	MIP00184
202219464-01	PPP2226
202219278-01	MIP00060
202219620-01	PPC2213
202219815-01	PPC2489
202219675-01	PPC2283
202219380-01	MIP00147
202219645-01	PPC2246
202219691-01	PPC2305
202219518-01	PPC2593
202219386-01	MIP00150
202219658-01	PPC2259
202219404-01	MIP00166
202219504-01	PPC2577
202219263-01	MIP00046
202219473-01	MIP00225
202219565-01	PPC2651
202219273-01	MIP00055
202219286-01	PPP2131
202219557-01	PPC2641
202219266-01	MIP00049
202219799-01	PPC2472
202219314-01	MIP00090
202219564-01	PPC2650
202219420-01	PPP2167
202219777-01	PPC2432
202219254-01	MIP00040
202219224-01	PPP2276
202219226-01	MIP00016
202219363-01	MIP00131
202219742-01	PPC2691
202219442-01	MIP00198
202219708-01	PPC2326
202219536-01	PPC2616
202219688-01	PPC2300
202219531-01	PPC2611
202219812-01	PPC2486
202219358-01	MIP00126
202219765-01	PPC2405
202219706-01	PPC2506
202219243-01	MIP00030
202219444-01	MIP00200
202219485-01	MIP00234
202219738-01	PPC2358
202219310-01	MIP00086
202219740-01	PPC2361
202219561-01	PPC2646
202219271-01	MIP00054
202219796-01	PPC2469
202219354-01	MIP00124
202219776-01	PPC2425
202219220-01	MIP00011
202219744-01	PPC2368
202219864-01	PPC2542
202219553-01	PPC2637
202219530-01	PPC2610
202219861-01	PPC2538
202219212-01	MIP00004
202219695-01	PPC2309
202219257-01	MIP00042
202219606-01	PPC2033
202219622-01	PPC2215
202219509-01	PPC2583
202219559-01	PPC2643
202219417-01	MIP00177
202219673-01	PPC2280
202219772-01	PPC2413
202219320-01	PPP2140
202219400-01	MIP00162
202219624-01	PPC2217
202219792-01	PPC2465
202219459-01	MIP00212
202219875-01	PPC2555
202219514-01	PPC2589
202219357-01	MIP00125
202219298-01	PPP2137
202219373-01	MIP00140
202219287-01	MIP00067
202219568-01	PPC2654
202219302-01	MIP00079
202219376-01	MIP00143
202219828-01	PPC2502
202219537-01	PPC2617
202219500-01	PPC2567
202219638-01	PPC2238
202219255-01	PPP2134
202219771-01	PPC2412
202219657-01	PPC2258
202219436-01	PPP2169
202219754-01	PPC2378
202219389-01	MIP00153
202219240-01	MIP00027
202219567-01	PPC2653
202219419-01	PPP2166
202219407-01	MIP00168
202219818-01	PPC2492
202219790-01	PPC2463
202219558-01	PPC2642
202219701-01	PPC2315
202219285-01	PPP2130
202219259-01	PPP2110
202219265-01	MIP00048
202219786-01	PPC2448
202219793-01	PPC2466
202219727-01	PPC2347
202219547-01	PPC2628
202219215-01	MIP00006
202219590-01	PPP2269
202219663-01	PPC2266
202219326-01	MIP00099
202219784-01	PPC2445
202219456-01	MIP00209
202219616-01	PPC2209
202219603-01	PPC2192
202219778-01	PPC2433
202202073-01	MXP0014
201207480-04_pt3pD	HIHG Control
202219351-01	PPP2145
202219490-01	PPP2236
202219455-01	MIP00208
202219872-01	PPC2552
202219288-01	MIP00068
202219487-01	MIP00236
202219743-01	PPC2366
202219757-01	PPC2386
202219860-01	PPC2537
202219608-01	PPC2200
202219468-01	MIP00220
202219292-01	MIP00071
202219643-01	PPC2245
202219566-01	PPC2652
202219710-01	PPC2328
202219654-01	PPC2255
202219502-01	PPC2569
202219850-01	PPC2526
202219832-01	PPC2692
202219452-01	PPP2225
202219879-01	PPC2559
202219449-01	MIP00204
202219756-01	PPC2383
202219857-01	PPC2533
202219289-01	PPP2136
202219296-01	MIP00075
202219489-01	MIP00238
202219811-01	PPC2485
202219333-01	MIP00105
202219443-01	MIP00199
202219665-01	PPC2044
201207480-04_pt3pE	HIHG Control
202219382-01	PPP2150
202219517-01	PPC2592
202219217-01	MIP00008
202219813-01	PPC2487
202219685-01	PPC2297
202219327-01	MIP00100
202219804-01	PPC2477
202219871-01	PPC2551
202219348-01	MIP00119
202219321-01	MIP00096
202219789-01	PPC2452
202219602-01	PPC2191
202219338-01	MIP00110
202023845-01	ARP0020
202219481-01	PPP2234
202219533-01	PPC2613
202219221-01	MIP00012
202219621-01	PPC2214
202219365-01	MIP00133
202219397-01	MIP00159
202219439-01	MIP00195
202219551-01	PPC2635
202219873-01	PPC2553
202219281-01	MIP00063
202219842-01	PPC2517
202219364-01	MIP00132
202219523-01	PPC2599
202219370-01	MIP00137
202219849-01	PPC2525
202219332-01	MIP00104
202219866-01	PPC2544
202219613-01	PPC2206
202219856-01	PPC2532
202219698-01	PPC2312
202219694-01	PPC2308
202219497-01	PPC2561
202219475-01	MIP00227
202219322-01	MIP00097
202219752-01	PPC2376
