#Data extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data_10-6-22\Sample Specific Files\SampleSheet_iMata_kNuytemans_GDANeurobooster_576_ALL.csv

Sample_ID,SentrixBarcode_A,SentrixPosition_A
202201833-01,206412050137,R08C01
202202016-01,206412050100,R01C01
202202226-01,206412050100,R02C01
202003902-06,206412050100,R03C01
202202129-01,206412050100,R04C01
202202207-01,206412050100,R05C01
202117082-15,206412050100,R06C01
202201866-01,206412050100,R07C01
202201777-01,206412050100,R08C01
202201840-01,206412050144,R01C01
202202054-01,206412050144,R02C01
202002869-20,206412050144,R03C01
202202184-01,206412050144,R04C01
202202062-01,206412050144,R05C01
202202144-01,206412050144,R06C01
202202082-01,206412050144,R07C01
202202015-01,206412050144,R08C01
202024822-14,206412050132,R01C01
202201969-01,206412050132,R02C01
202201989-01,206412050132,R03C01
202202004-01,206412050132,R04C01
202100346-12,206412050132,R05C01
202201898-01,206412050132,R06C01
202201904-01,206412050132,R07C01
202202168-01,206412050132,R08C01
202201843-01,206412060173,R01C01
202113243-15,206412060173,R02C01
202202189-01,206412060173,R03C01
202202083-01,206412060173,R04C01
202202165-01,206412060173,R05C01
202202206-01,206412060173,R06C01
202201805-01,206412060173,R07C01
202201877-01,206412060173,R08C01
202202127-01,206412060112,R01C01
202025066-14,206412060112,R02C01
202117324-15,206412060112,R03C01
202201999-01,206412060112,R04C01
202202070-01,206412060112,R05C01
202201985-01,206412060112,R06C01
202202036-01,206412060112,R07C01
202202104-01,206412060112,R08C01
202202090-01,206412060130,R01C01
202100297-12,206412060130,R02C01
202201890-01,206412060130,R03C01
202202049-01,206412060130,R04C01
202202220-01,206412060130,R05C01
202202231-01,206412060130,R06C01
202202195-01,206412060130,R07C01
202201845-01,206412060130,R08C01
202202003-01,206412060184,R01C01
202101812-16,206412060184,R02C01
202202228-01,206412060184,R03C01
202201970-01,206412060184,R04C01
202202119-01,206412060184,R05C01
202104513-15,206412060184,R06C01
202110649-15,206412060184,R07C01
202111347-15,206412060184,R08C01
201003484-11,206412050028,R01C01
202202223-01,206412050028,R02C01
202202089-01,206412050028,R03C01
202202103-01,206412050028,R04C01
202202158-01,206412050028,R05C01
202202170-01,206412050028,R06C01
202202236-01,206412050028,R07C01
202202055-01,206412050028,R08C01
202202185-01,206412050010,R01C01
202201774-01,206412050010,R02C01
202201915-01,206412050010,R03C01
202201885-01,206412050010,R04C01
202201956-01,206412050010,R05C01
202201897-01,206412050010,R06C01
202202064-01,206412050010,R07C01
202201895-01,206412050010,R08C01
202202097-01,206412050044,R01C01
202202098-01,206412050044,R02C01
202202203-01,206412050044,R03C01
202201949-01,206412050044,R04C01
202201836-01,206412050044,R05C01
202202113-01,206412050044,R06C01
202202139-01,206412050044,R07C01
202117858-15,206412050044,R08C01
202202124-01,206412050002,R01C01
202201908-01,206412050002,R02C01
202201831-01,206412050002,R03C01
202202222-01,206412050002,R04C01
202100333-14,206412050002,R05C01
202202224-01,206412050002,R06C01
202201968-01,206412050002,R07C01
202113115-14,206412050002,R08C01
202201818-01,206412050171,R01C01
202202066-01,206412050171,R02C01
202202247-01,206412050171,R03C01
202202126-01,206412050171,R04C01
202202177-01,206412050171,R05C01
201207480-04_pC,206412050171,R06C01
202201808-01,206412050171,R07C01
202201521-14,206412050171,R08C01
202202060-01,206412050023,R01C01
202202087-01,206412050023,R02C01
202001615-14,206412050023,R03C01
202201936-01,206412050023,R04C01
202201960-01,206412050023,R05C01
202201918-01,206412050023,R06C01
202202067-01,206412050023,R07C01
202201948-01,206412050023,R08C01
202201907-01,206412050029,R01C01
202202105-01,206412050029,R02C01
202201912-01,206412050029,R03C01
202201875-01,206412050029,R04C01
202024856-14,206412050029,R05C01
202201839-01,206412050029,R06C01
202201863-01,206412050029,R07C01
202202074-01,206412050029,R08C01
202202214-01,206412050020,R01C01
202201993-01,206412050020,R02C01
202201869-01,206412050020,R03C01
202202091-01,206412050020,R04C01
202201914-01,206412050020,R05C01
202201800-01,206412050020,R06C01
202201865-01,206412050020,R07C01
202201691-21,206412050020,R08C01
202114176-15,206412060015,R01C01
202201930-01,206412060015,R02C01
202002602-14,206412060015,R03C01
202201858-01,206412060015,R04C01
202201934-01,206412060015,R05C01
202201326-15,206412060015,R06C01
202201851-01,206412060015,R07C01
202201711-23,206412060015,R08C01
202202121-01,206412060014,R01C01
202201982-01,206412060014,R02C01
202202235-01,206412060014,R03C01
202201827-01,206412060014,R04C01
202201975-01,206412060014,R05C01
202202077-01,206412060014,R06C01
202025063-14,206412060014,R07C01
202201913-01,206412060014,R08C01
202202133-01,206412050104,R01C01
202201848-01,206412050104,R02C01
202208627-06,206412050104,R03C01
202201823-01,206412050104,R04C01
202201963-01,206412050104,R05C01
202201922-01,206412050104,R06C01
202117325-15,206412050104,R07C01
202202171-01,206412050104,R08C01
202111627-14,206412050034,R01C01
202201937-01,206412050034,R02C01
202201815-01,206412050034,R03C01
201927308-14,206412050034,R04C01
202101288-14,206412050034,R05C01
202202179-01,206412050034,R06C01
202202232-01,206412050034,R07C01
202201847-01,206412050034,R08C01
202201931-01,206412050130,R01C01
202201864-01,206412050130,R02C01
202201792-01,206412050130,R03C01
202202205-01,206412050130,R04C01
202025067-14,206412050130,R05C01
202201797-01,206412050130,R06C01
202201919-01,206412050130,R07C01
202202118-01,206412050130,R08C01
202025661-12,206412060062,R01C01
202202018-01,206412060062,R02C01
201207480-04_pD,206412060062,R03C01
202201883-01,206412060062,R04C01
202201872-01,206412060062,R05C01
202202209-01,206412060062,R06C01
202202020-01,206412060062,R07C01
202202227-01,206412060062,R08C01
202202128-01,206412050108,R01C01
202201909-01,206412050108,R02C01
202100692-12,206412050108,R03C01
202201771-01,206412050108,R04C01
202202022-01,206412050108,R05C01
202201793-01,206412050108,R06C01
202202152-01,206412050108,R07C01
202202234-01,206412050108,R08C01
202003884-12,206412050143,R01C01
202202102-01,206412050143,R02C01
202202193-01,206412050143,R03C01
202111363-13,206412050143,R04C01
202202041-01,206412050143,R05C01
202202197-01,206412050143,R06C01
202201786-01,206412050143,R07C01
202201790-01,206412050143,R08C01
202202069-01,206412050150,R01C01
202202192-01,206412050150,R02C01
202201927-01,206412050150,R03C01
202201841-01,206412050150,R04C01
202202149-01,206412050150,R05C01
202202050-01,206412050150,R06C01
202202153-01,206412050150,R07C01
202202075-01,206412050150,R08C01
202201941-01,206412050102,R01C01
202201876-01,206412050102,R02C01
202201856-01,206412050102,R03C01
202111532-15,206412050102,R04C01
202201972-01,206412050102,R05C01
202105922-15,206412050102,R06C01
202202040-01,206412050102,R07C01
202202009-01,206412050102,R08C01
202201950-01,206412060075,R01C01
202201901-01,206412060075,R02C01
202202084-01,206412060075,R03C01
202201849-01,206412060075,R04C01
202202155-01,206412060075,R05C01
202202063-01,206412060075,R06C01
202202088-01,206412060075,R07C01
202201776-01,206412060075,R08C01
202202150-01,206412050041,R01C01
202201803-01,206412050041,R02C01
202118977-14,206412050041,R03C01
202201986-01,206412050041,R04C01
202202187-01,206412050041,R05C01
202201888-01,206412050041,R06C01
202201940-01,206412050041,R07C01
202201817-01,206412050041,R08C01
202201946-01,206451070075,R01C01
202201825-01,206451070075,R02C01
202202101-01,206451070075,R03C01
202120051-15,206451070075,R04C01
202202239-01,206451070075,R05C01
202202017-01,206451070075,R06C01
202201859-01,206451070075,R07C01
202201842-01,206451070075,R08C01
202202109-01,206451070046,R01C01
202101813-16,206451070046,R02C01
202201932-01,206451070046,R03C01
202202125-01,206451070046,R04C01
202201906-01,206451070046,R05C01
202202100-01,206451070046,R06C01
202201991-01,206451070046,R07C01
202201788-01,206451070046,R08C01
202201929-01,206451070112,R01C01
202001616-14,206451070112,R02C01
202111723-13,206451070112,R03C01
202003886-12,206451070112,R04C01
202201945-01,206451070112,R05C01
202202246-01,206451070112,R06C01
202201964-01,206451070112,R07C01
202201789-01,206451070112,R08C01
202202136-01,206451070096,R01C01
202202208-01,206451070096,R02C01
202201994-01,206451070096,R03C01
202202072-01,206451070096,R04C01
202201798-01,206451070096,R05C01
202201961-01,206451070096,R06C01
202101289-07,206451070096,R07C01
202202110-01,206451070096,R08C01
202201832-01,206451070049,R01C01
202202166-01,206451070049,R02C01
202202056-01,206451070049,R03C01
202003885-12,206451070049,R04C01
202201886-01,206451070049,R05C01
202202162-01,206451070049,R06C01
202202019-01,206451070049,R07C01
202201852-01,206451070049,R08C01
202024215-14,206451070019,R01C01
202202058-01,206451070019,R02C01
202201916-01,206451070019,R03C01
202201959-01,206451070019,R04C01
202100690-12,206451070019,R05C01
202202237-01,206451070019,R06C01
202201988-01,206451070019,R07C01
202206089-23,206451070019,R08C01
202201979-01,206451070053,R01C01
202202242-01,206451070053,R02C01
202202116-01,206451070053,R03C01
202202086-01,206451070053,R04C01
202202012-01,206451070053,R05C01
202201894-01,206451070053,R06C01
202201779-01,206451070053,R07C01
202101239-15,206451070053,R08C01
202201874-01,206451070047,R01C01
202201804-01,206451070047,R02C01
202202245-01,206451070047,R03C01
202202138-01,206451070047,R04C01
202202021-01,206451070047,R05C01
202202212-01,206451070047,R06C01
202116844-15,206451070047,R07C01
202201460-15,206451070047,R08C01
202201892-01,206451070107,R01C01
202201981-01,206451070107,R02C01
202201947-01,206451070107,R03C01
202202130-01,206451070107,R04C01
202202051-01,206451070107,R05C01
202201987-01,206451070107,R06C01
202202131-01,206451070107,R07C01
202202002-01,206451070107,R08C01
202202052-01,206451070190,R01C01
202202038-01,206451070190,R02C01
202201977-01,206451070190,R03C01
202202108-01,206451070190,R04C01
202201794-01,206451070190,R05C01
202201952-01,206451070190,R06C01
202201928-01,206451070190,R07C01
202024216-14,206451070190,R08C01
202201857-01,206451070103,R01C01
201207480-04_pE,206451070103,R02C01
202201953-01,206451070103,R03C01
202201889-01,206451070103,R04C01
202118188-15,206451070103,R05C01
202201837-01,206451070103,R06C01
202202111-01,206451070103,R07C01
202100691-12,206451070103,R08C01
202100580-12,206451070094,R01C01
202202218-01,206451070094,R02C01
202207836-23,206451070094,R03C01
202201996-01,206451070094,R04C01
202201921-01,206451070094,R05C01
202201861-01,206451070094,R06C01
202202117-01,206451070094,R07C01
202202078-01,206451070094,R08C01
202201778-01,206412050197,R01C01
202201868-01,206412050197,R02C01
202202014-01,206412050197,R03C01
202201855-01,206412050197,R04C01
202201443-15,206412050197,R05C01
202117569-15,206412050197,R06C01
202201992-01,206412050197,R07C01
202116801-15,206412050197,R08C01
202202011-01,206412050099,R01C01
202201811-01,206412050099,R02C01
202202244-01,206412050099,R03C01
202201951-01,206412050099,R04C01
202202151-01,206412050099,R05C01
202201924-01,206412050099,R06C01
202201829-01,206412050099,R07C01
202202068-01,206412050099,R08C01
202201816-01,206412050191,R01C01
202105775-15,206412050191,R02C01
202201939-01,206412050191,R03C01
202202024-01,206412050191,R04C01
202202065-01,206412050191,R05C01
202202191-01,206412050191,R06C01
201207480-04_pF,206412050191,R07C01
202202094-01,206412050191,R08C01
202201809-01,206412050106,R01C01
202201846-01,206412050106,R02C01
202201813-01,206412050106,R03C01
202201887-01,206412050106,R04C01
202202033-01,206412050106,R05C01
202202000-01,206412050106,R06C01
202001848-14,206412050106,R07C01
202201860-01,206412050106,R08C01
202202106-01,206412050196,R01C01
202202146-01,206412050196,R02C01
202201879-01,206412050196,R03C01
202201926-01,206412050196,R04C01
202117859-06,206412050196,R05C01
202001960-14,206412050196,R06C01
202201957-01,206412050196,R07C01
202202112-01,206412050196,R08C01
202001961-14,206412050159,R01C01
202201824-01,206412050159,R02C01
202202023-01,206412050159,R03C01
202202157-01,206412050159,R04C01
202201828-01,206412050159,R05C01
202201925-01,206412050159,R06C01
202202167-01,206412050159,R07C01
202201838-01,206412050159,R08C01
202202045-01,206412050057,R01C01
202202221-01,206412050057,R02C01
202202229-01,206412050057,R03C01
202118978-14,206412050057,R04C01
202202028-01,206412050057,R05C01
202201955-01,206412050057,R06C01
202001962-14,206412050057,R07C01
202202199-01,206412050057,R08C01
202110843-15,206412050096,R01C01
202202181-01,206412050096,R02C01
202202163-01,206412050096,R03C01
202202047-01,206412050096,R04C01
202202034-01,206412050096,R05C01
202201810-01,206412050096,R06C01
202202081-01,206412050096,R07C01
202202076-01,206412050096,R08C01
202202172-01,206451070114,R01C01
202201990-01,206451070114,R02C01
202201873-01,206451070114,R03C01
202201923-01,206451070114,R04C01
202202092-01,206451070114,R05C01
202201819-01,206451070114,R06C01
202202035-01,206451070114,R07C01
202201835-01,206451070114,R08C01
202202182-01,206451070177,R01C01
202201820-01,206451070177,R02C01
202202233-01,206451070177,R03C01
202202140-01,206451070177,R04C01
202104656-15,206451070177,R05C01
202201980-01,206451070177,R06C01
202202141-01,206451070177,R07C01
202202134-01,206451070177,R08C01
202202043-01,206451070176,R01C01
202202059-01,206451070176,R02C01
202202115-01,206451070176,R03C01
202201905-01,206451070176,R04C01
202202107-01,206451070176,R05C01
202202057-01,206451070176,R06C01
202202240-01,206451070176,R07C01
202201801-01,206451070176,R08C01
202202156-01,206451070186,R01C01
202201783-01,206451070186,R02C01
202202053-01,206451070186,R03C01
202202132-01,206451070186,R04C01
202203994-06,206451070186,R05C01
202202006-01,206451070186,R06C01
202202248-01,206451070186,R07C01
202201590-23,206451070186,R08C01
