#Data extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data_7-20-21\Sample Specific Files\iMata_GDANB_Pt1_pA-E_SampleSheet.csv

Sample_ID,SentrixBarcode_A,SentrixPosition_A
202023527-01,205415060019,R01C01
202023407-01,205415060019,R02C01
202023457-01,205415060019,R03C01
202023404-01,205415060019,R04C01
202023701-01,205415060019,R05C01
202023489-01,205415060019,R06C01
202023747-01,205415060019,R07C01
202023524-01,205415060019,R08C01
202023484-01,205377900054,R01C01
202023656-01,205377900054,R02C01
202023434-01,205377900054,R03C01
202023748-01,205377900054,R04C01
202023346-01,205377900054,R05C01
202023413-01,205377900054,R06C01
202023363-01,205377900054,R07C01
202023679-01,205377900054,R08C01
202023700-01,205415060020,R01C01
202023683-01,205415060020,R02C01
202023586-01,205415060020,R03C01
202023723-01,205415060020,R04C01
202023755-01,205415060020,R05C01
202023689-01,205415060020,R06C01
202023429-01,205415060020,R07C01
201207486-04_pB,205415060020,R08C01
202023717-01,205415060004,R01C01
202023750-01,205415060004,R02C01
202023687-01,205415060004,R03C01
202023681-01,205415060004,R04C01
202023805-01,205415060004,R05C01
202023840-01,205415060004,R06C01
202023432-01,205415060004,R07C01
202023417-01,205415060004,R08C01
202023674-01,205377900059,R01C01
202023440-01,205377900059,R02C01
202023474-01,205377900059,R03C01
202023809-01,205377900059,R04C01
202023428-01,205377900059,R05C01
202023393-01,205377900059,R06C01
202023378-01,205377900059,R07C01
202023370-01,205377900059,R08C01
202023643-01,205415060022,R01C01
202023541-01,205415060022,R02C01
202023560-01,205415060022,R03C01
202023835-01,205415060022,R04C01
202023693-01,205415060022,R05C01
202023515-01,205415060022,R06C01
202023414-01,205415060022,R07C01
202023696-01,205415060022,R08C01
202023465-01,205415060021,R01C01
202023536-01,205415060021,R02C01
202023807-01,205415060021,R03C01
202023638-01,205415060021,R04C01
202023645-01,205415060021,R05C01
202023736-01,205415060021,R06C01
202023751-01,205415060021,R07C01
202023551-01,205415060021,R08C01
202023580-01,205415060015,R01C01
202023662-01,205415060015,R02C01
202023348-01,205415060015,R03C01
202023771-01,205415060015,R04C01
202023558-01,205415060015,R05C01
202023604-01,205415060015,R06C01
202023439-01,205415060015,R07C01
202023690-01,205415060015,R08C01
202023381-01,205415060011,R01C01
202023734-01,205415060011,R02C01
202023506-01,205415060011,R03C01
202023646-01,205415060011,R04C01
202023786-01,205415060011,R05C01
202023657-01,205415060011,R06C01
202023368-01,205415060011,R07C01
202023814-01,205415060011,R08C01
202023744-01,205415060007,R01C01
202023660-01,205415060007,R02C01
202023420-01,205415060007,R03C01
202023822-01,205415060007,R04C01
202023444-01,205415060007,R05C01
202023374-01,205415060007,R06C01
202023705-01,205415060007,R07C01
202023640-01,205415060007,R08C01
202023695-01,205415060006,R01C01
202023340-01,205415060006,R02C01
202023426-01,205415060006,R03C01
202023703-01,205415060006,R04C01
202023639-01,205415060006,R05C01
202023482-01,205415060006,R06C01
202023710-01,205415060006,R07C01
202023442-01,205415060006,R08C01
202023454-01,205377900067,R01C01
202023832-01,205377900067,R02C01
202023419-01,205377900067,R03C01
202023334-01,205377900067,R04C01
202023839-01,205377900067,R05C01
202023531-01,205377900067,R06C01
202023779-01,205377900067,R07C01
202023621-01,205377900067,R08C01
202023359-01,205377900048,R01C01
202023600-01,205377900048,R02C01
202023513-01,205377900048,R03C01
202023361-01,205377900048,R04C01
202023796-01,205377900048,R05C01
202023371-01,205377900048,R06C01
202023366-01,205377900048,R07C01
202023722-01,205377900048,R08C01
202023630-01,205415060009,R01C01
202023601-01,205415060009,R02C01
202023373-01,205415060009,R03C01
202023697-01,205415060009,R04C01
202023702-01,205415060009,R05C01
202023462-01,205415060009,R06C01
202023525-01,205415060009,R07C01
202023486-01,205415060009,R08C01
202023632-01,205415060005,R01C01
202023499-01,205415060005,R02C01
202023441-01,205415060005,R03C01
202023834-01,205415060005,R04C01
202023650-01,205415060005,R05C01
202023468-01,205415060005,R06C01
202023448-01,205415060005,R07C01
201207486-04_pC,205415060005,R08C01
202023567-01,205377900068,R01C01
202023673-01,205377900068,R02C01
202023564-01,205377900068,R03C01
202023791-01,205377900068,R04C01
202023529-01,205377900068,R05C01
202023523-01,205377900068,R06C01
202023678-01,205377900068,R07C01
202023812-01,205377900068,R08C01
202023729-01,205377900027,R01C01
202023664-01,205377900027,R02C01
202023557-01,205377900027,R03C01
202023765-01,205377900027,R04C01
202023410-01,205377900027,R05C01
202023692-01,205377900027,R06C01
202023589-01,205377900027,R07C01
202023360-01,205377900027,R08C01
202023749-01,205377900030,R01C01
202023759-01,205377900030,R02C01
202023629-01,205377900030,R03C01
202023341-01,205377900030,R04C01
202023829-01,205377900030,R05C01
202023776-01,205377900030,R06C01
202023713-01,205377900030,R07C01
202023511-01,205377900030,R08C01
202023534-01,205415060033,R01C01
202023385-01,205415060033,R02C01
202023677-01,205415060033,R03C01
202023803-01,205415060033,R04C01
202023680-01,205415060033,R05C01
202023718-01,205415060033,R06C01
202023606-01,205415060033,R07C01
202023792-01,205415060033,R08C01
202023598-01,205415060024,R01C01
202023801-01,205415060024,R02C01
202023409-01,205415060024,R03C01
202023804-01,205415060024,R04C01
202023538-01,205415060024,R05C01
202023777-01,205415060024,R06C01
202023770-01,205415060024,R07C01
202023461-01,205415060024,R08C01
202023708-01,205415060032,R01C01
202023821-01,205415060032,R02C01
202023728-01,205415060032,R03C01
202023752-01,205415060032,R04C01
202023599-01,205415060032,R05C01
202023364-01,205415060032,R06C01
202023610-01,205415060032,R07C01
202023382-01,205415060032,R08C01
202023644-01,205415060017,R01C01
202023450-01,205415060017,R02C01
202023433-01,205415060017,R03C01
202023430-01,205415060017,R04C01
202023406-01,205415060017,R05C01
202023836-01,205415060017,R06C01
202023396-01,205415060017,R07C01
202023721-01,205415060017,R08C01
202023447-01,205377900041,R01C01
202023351-01,205377900041,R02C01
202023769-01,205377900041,R03C01
202023422-01,205377900041,R04C01
202023785-01,205377900041,R05C01
202023659-01,205377900041,R06C01
202023820-01,205377900041,R07C01
202023554-01,205377900041,R08C01
202023675-01,205377900005,R01C01
202023712-01,205377900005,R02C01
202023841-01,205377900005,R03C01
202023498-01,205377900005,R04C01
202023743-01,205377900005,R05C01
202023724-01,205377900005,R06C01
202023819-01,205377900005,R07C01
202023369-01,205377900005,R08C01
202023808-01,205377900077,R01C01
202023663-01,205377900077,R02C01
202023469-01,205377900077,R03C01
202023596-01,205377900077,R04C01
202023671-01,205377900077,R05C01
202023590-01,205377900077,R06C01
202023798-01,205377900077,R07C01
202023799-01,205377900077,R08C01
202023793-01,205377900078,R01C01
202023354-01,205377900078,R02C01
202023390-01,205377900078,R03C01
202023565-01,205377900078,R04C01
202023500-01,205377900078,R05C01
202023788-01,205377900078,R06C01
202023344-01,205377900078,R07C01
202023666-01,205377900078,R08C01
202023345-01,205377900061,R01C01
202023451-01,205377900061,R02C01
202023802-01,205377900061,R03C01
202023353-01,205377900061,R04C01
202023421-01,205377900061,R05C01
202023431-01,205377900061,R06C01
202023716-01,205377900061,R07C01
201207486-04_pD,205377900061,R08C01
202023400-01,205427610016,R01C01
202023509-01,205427610016,R02C01
202023667-01,205427610016,R03C01
202023806-01,205427610016,R04C01
202023767-01,205427610016,R05C01
202023391-01,205427610016,R06C01
202023764-01,205427610016,R07C01
202023823-01,205427610016,R08C01
202023760-01,205427610011,R01C01
202023569-01,205427610011,R02C01
202023825-01,205427610011,R03C01
202023339-01,205427610011,R04C01
202023480-01,205427610011,R05C01
202023355-01,205427610011,R06C01
202023464-01,205427610011,R07C01
202023668-01,205427610011,R08C01
202023619-01,205415060025,R01C01
202023627-01,205415060025,R02C01
202023483-01,205415060025,R03C01
202023830-01,205415060025,R04C01
202023522-01,205415060025,R05C01
202023425-01,205415060025,R06C01
202023719-01,205415060025,R07C01
202023411-01,205415060025,R08C01
202023837-01,205415060003,R01C01
202023520-01,205415060003,R02C01
202023350-01,205415060003,R03C01
202023641-01,205415060003,R04C01
202023561-01,205415060003,R05C01
202023416-01,205415060003,R06C01
202023365-01,205415060003,R07C01
202023491-01,205415060003,R08C01
202023766-01,205415060029,R01C01
202023357-01,205415060029,R02C01
202023731-01,205415060029,R03C01
202023395-01,205415060029,R04C01
202023715-01,205415060029,R05C01
202023379-01,205415060029,R06C01
202023745-01,205415060029,R07C01
202023588-01,205415060029,R08C01
202023488-01,205427610007,R01C01
202023753-01,205427610007,R02C01
202023516-01,205427610007,R03C01
202023452-01,205427610007,R04C01
202023636-01,205427610007,R05C01
202023333-01,205427610007,R06C01
202023552-01,205427610007,R07C01
202023617-01,205427610007,R08C01
202023634-01,205427610010,R01C01
202023545-01,205427610010,R02C01
202023383-01,205427610010,R03C01
202023735-01,205427610010,R04C01
202023542-01,205427610010,R05C01
202023794-01,205427610010,R06C01
202023388-01,205427610010,R07C01
202023591-01,205427610010,R08C01
202023813-01,205415060002,R01C01
202023427-01,205415060002,R02C01
202023602-01,205415060002,R03C01
202023343-01,205415060002,R04C01
202023508-01,205415060002,R05C01
202023740-01,205415060002,R06C01
202023481-01,205415060002,R07C01
202023780-01,205415060002,R08C01
202023455-01,205427610017,R01C01
202023349-01,205427610017,R02C01
202023635-01,205427610017,R03C01
202023714-01,205427610017,R04C01
202023790-01,205427610017,R05C01
202023408-01,205427610017,R06C01
202023517-01,205427610017,R07C01
202023399-01,205427610017,R08C01
202023783-01,205427610008,R01C01
202023497-01,205427610008,R02C01
202023460-01,205427610008,R03C01
202023828-01,205427610008,R04C01
202023603-01,205427610008,R05C01
202023518-01,205427610008,R06C01
202023593-01,205427610008,R07C01
202023384-01,205427610008,R08C01
202023458-01,205427610012,R01C01
202023815-01,205427610012,R02C01
202023562-01,205427610012,R03C01
202023490-01,205427610012,R04C01
202023756-01,205427610012,R05C01
202023676-01,205427610012,R06C01
202023733-01,205427610012,R07C01
202023611-01,205427610012,R08C01
202023691-01,205427610009,R01C01
202023402-01,205427610009,R02C01
202023502-01,205427610009,R03C01
202023824-01,205427610009,R04C01
202023658-01,205427610009,R05C01
202023352-01,205427610009,R06C01
202023435-01,205427610009,R07C01
201207486-04_pE,205427610009,R08C01
