#Data extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data-7-28-23\iMata_GDANB_Pt4\Sample Specific Files\iMata_pt4_GDANB_SampleSheet_Final.csv

Sample_ID,SentrixBarcode_A,SentrixPosition_A,
202303819-01,207455320138,R06C01,
202303849-01,207455320138,R07C01,
202303647-01,207455320138,R08C01,
202303729-01,207455320097,R01C01,
202303635-01,207455320097,R02C01,
202303762-01,207455320097,R03C01,
202303452-01,207455320097,R04C01,
202303890-01,207455320097,R05C01,
202303633-01,207455320097,R06C01,
202303478-01,207455320097,R07C01,
202303349-01,207455320097,R08C01,
202303553-01,207455320092,R01C01,
202303440-01,207455320092,R02C01,
202303539-01,207455320092,R03C01,
202303571-01,207455320092,R04C01,
202303730-01,207455320092,R05C01,
202303808-01,207455320092,R06C01,
202303443-01,207455320092,R07C01,
202303618-01,207455320092,R08C01,
202303895-01,207455320017,R01C01,
202303536-01,207455320017,R02C01,
202303866-01,207455320017,R03C01,
202303745-01,207455320017,R04C01,
202303569-01,207455320017,R05C01,
202303732-01,207455320017,R06C01,
202303699-01,207455320017,R07C01,
202303397-01,207455320017,R08C01,
202303307-01,207455320056,R01C01,
202303306-01,207455320056,R02C01,
202303347-01,207455320056,R03C01,
202303350-01,207455320056,R04C01,
202303388-01,207455320056,R05C01,
202303719-01,207455320056,R06C01,
202303893-01,207455320056,R07C01,
202303859-01,207455320056,R08C01,
202303409-01,207455320111,R01C01,
202303521-01,207455320111,R02C01,
202303527-01,207455320111,R03C01,
202303310-01,207455320111,R04C01,
202303778-01,207455320111,R05C01,
202303538-01,207455320111,R06C01,
202303337-01,207455320111,R07C01,
202303526-01,207455320111,R08C01,
202303412-01,207408280081,R01C01,
202303833-01,207408280081,R02C01,
202303827-01,207408280081,R03C01,
202303785-01,207408280081,R04C01,
202303501-01,207408280081,R05C01,
202303761-01,207408280081,R06C01,
202303494-01,207408280081,R07C01,
202303426-01,207408280081,R08C01,
202303688-01,207408280055,R01C01,
202303309-01,207408280055,R02C01,
202303624-01,207408280055,R03C01,
202303331-01,207408280055,R04C01,
202303302-01,207408280055,R05C01,
202303872-01,207408280055,R06C01,
202303372-01,207408280055,R07C01,
202303570-01,207408280055,R08C01,
202303739-01,207408280057,R01C01,
202303898-01,207408280057,R02C01,
202303718-01,207408280057,R03C01,
202303854-01,207408280057,R04C01,
202303303-01,207408280057,R05C01,
202303782-01,207408280057,R06C01,
202303625-01,207408280057,R07C01,
202303510-01,207408280057,R08C01,
202303830-01,207408280062,R01C01,
202303787-01,207408280062,R02C01,
202303558-01,207408280062,R03C01,
202303332-01,207408280062,R04C01,
202303807-01,207408280062,R05C01,
202303741-01,207408280062,R06C01,
202303371-01,207408280062,R07C01,
202303585-01,207408280062,R08C01,
202303439-01,207455320108,R01C01,
202303805-01,207455320108,R02C01,
202303520-01,207455320108,R03C01,
202303406-01,207455320108,R04C01,
202303863-01,207455320108,R05C01,
201207480-04_pC,207455320108,R06C01,
202303617-01,207455320108,R07C01,
202303425-01,207455320108,R08C01,
202303330-01,207455320107,R01C01,
202303891-01,207455320107,R02C01,
202303643-01,207455320107,R03C01,
202303593-01,207455320107,R04C01,
202303471-01,207455320107,R05C01,
202303734-01,207455320107,R06C01,
202303565-01,207455320107,R07C01,
202303766-01,207455320107,R08C01,
202303402-01,207455320135,R01C01,
202303721-01,207455320135,R02C01,
202303870-01,207455320135,R03C01,
202303823-01,207455320135,R04C01,
202303345-01,207455320135,R05C01,
202303806-01,207455320135,R06C01,
202303848-01,207455320135,R07C01,
202303661-01,207455320135,R08C01,
202303607-01,207455320110,R01C01,
202303334-01,207455320110,R02C01,
202303828-01,207455320110,R03C01,
202303757-01,207455320110,R04C01,
202303486-01,207455320110,R05C01,
202303621-01,207455320110,R06C01,
202303417-01,207455320110,R07C01,
202303552-01,207455320110,R08C01,
202303821-01,207455320109,R01C01,
202303682-01,207455320109,R02C01,
202303876-01,207455320109,R03C01,
202303511-01,207455320109,R04C01,
202303419-01,207455320109,R05C01,
202303483-01,207455320109,R06C01,
202303799-01,207455320109,R07C01,
202303634-01,207455320109,R08C01,
202303810-01,207455320134,R01C01,
202303442-01,207455320134,R02C01,
202303563-01,207455320134,R03C01,
202303341-01,207455320134,R04C01,
202303711-01,207455320134,R05C01,
202303549-01,207455320134,R06C01,
202303894-01,207455320134,R07C01,
202303657-01,207455320134,R08C01,
202303410-01,207455320133,R01C01,
202303561-01,207455320133,R02C01,
202303680-01,207455320133,R03C01,
202303752-01,207455320133,R04C01,
202303715-01,207455320133,R05C01,
202303591-01,207455320133,R06C01,
202303457-01,207455320133,R07C01,
202303559-01,207455320133,R08C01,
202303324-01,207408280050,R01C01,
202303813-01,207408280050,R02C01,
202303422-01,207408280050,R03C01,
202303802-01,207408280050,R04C01,
202303758-01,207408280050,R05C01,
202303748-01,207408280050,R06C01,
202303692-01,207408280050,R07C01,
202303860-01,207408280050,R08C01,
202303326-01,207408280051,R01C01,
202303407-01,207408280051,R02C01,
202303717-01,207408280051,R03C01,
202303514-01,207408280051,R04C01,
202303485-01,207408280051,R05C01,
202303610-01,207408280051,R06C01,
202303518-01,207408280051,R07C01,
202303314-01,207408280051,R08C01,
202303579-01,207408280097,R01C01,
202303497-01,207408280097,R02C01,
202303764-01,207408280097,R03C01,
202303530-01,207408280097,R04C01,
202303818-01,207408280097,R05C01,
202303881-01,207408280097,R06C01,
202303493-01,207408280097,R07C01,
202303631-01,207408280097,R08C01,
202303469-01,207408280068,R01C01,
202303829-01,207408280068,R02C01,
201207480-04_pD,207408280068,R03C01,
202303600-01,207408280068,R04C01,
202303707-01,207408280068,R05C01,
202303746-01,207408280068,R06C01,
202303769-01,207408280068,R07C01,
202303843-01,207408280068,R08C01,
202303777-01,207408280077,R01C01,
202303339-01,207408280077,R02C01,
202303892-01,207408280077,R03C01,
202303415-01,207408280077,R04C01,
202303606-01,207408280077,R05C01,
202303360-01,207408280077,R06C01,
202303300-01,207408280077,R07C01,
202303629-01,207408280077,R08C01,
202303584-01,207408280095,R01C01,
202303380-01,207408280095,R02C01,
202303506-01,207408280095,R03C01,
202303709-01,207408280095,R04C01,
202303488-01,207408280095,R05C01,
202303602-01,207408280095,R06C01,
202303651-01,207408280095,R07C01,
202303572-01,207408280095,R08C01,
202303673-01,207408280096,R01C01,
202303391-01,207408280096,R02C01,
202303504-01,207408280096,R03C01,
202303590-01,207408280096,R04C01,
202303824-01,207408280096,R05C01,
202303727-01,207408280096,R06C01,
202303568-01,207408280096,R07C01,
202303596-01,207408280096,R08C01,
202303333-01,207408280042,R01C01,
202303453-01,207408280042,R02C01,
202303716-01,207408280042,R03C01,
202303578-01,207408280042,R04C01,
202303749-01,207408280042,R05C01,
202303690-01,207408280042,R06C01,
202303395-01,207408280042,R07C01,
202303598-01,207408280042,R08C01,
202303420-01,207408280067,R01C01,
202303528-01,207408280067,R02C01,
202303839-01,207408280067,R03C01,
202303675-01,207408280067,R04C01,
202303399-01,207408280067,R05C01,
202303446-01,207408280067,R06C01,
202303698-01,207408280067,R07C01,
202303555-01,207408280067,R08C01,
202303370-01,207408280080,R01C01,
202303702-01,207408280080,R02C01,
202303655-01,207408280080,R03C01,
202303791-01,207408280080,R04C01,
202303375-01,207408280080,R05C01,
202303847-01,207408280080,R06C01,
202303362-01,207408280080,R07C01,
202303874-01,207408280080,R08C01,
202303428-01,207408280087,R01C01,
202303751-01,207408280087,R02C01,
202303532-01,207408280087,R03C01,
202303461-01,207408280087,R04C01,
202303835-01,207408280087,R05C01,
202303389-01,207408280087,R06C01,
202303321-01,207408280087,R07C01,
202303401-01,207408280087,R08C01,
202303408-01,207408280094,R01C01,
202303491-01,207408280094,R02C01,
